,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000028,01,ME,20220701181528,20220701160432,20220701162212,20220701181340,3
1,ME000096,01,ME,20220701181334,20220701172727,20220701180806,20220701181322,3
2,ME000158,01,ME,20220701181403,20220701173324,20220701181338,,2
3,ME000207,01,ME,20220701181541,20220701180854,20220701181528,,2
4,ME000223,01,ME,20220701181353,20220701173735,20220701181338,,2
5,ME000275,01,ME,20220701181310,20220630200951,20220630203125,20220701145133,9
6,ME000276,01,ME,20220701181238,20220701180027,20220701181224,,2
7,ME000278,01,ME,20220701181505,20220701175250,20220701181451,,2
8,ME000360,01,ME,20220701181506,20220701173323,20220701180856,,2
9,ME174007,01,ME,20220701181216,20220701172823,20220701181142,,2
10,ME174020,02,ME,20220701181234,20220701172806,20220701180831,20220701181234,3
11,ME174028,03,ME,20220701181322,20220701172919,20220701175659,20220701181321,3
12,ME174029,01,ME,20220701181525,20220701174849,20220701181523,,2
13,ME174043,01,ME,20220701181324,20220701103814,20220701110043,20220701181323,3
14,ME174050,04,ME,20220701181331,20220701175211,20220701181302,,2
15,ME174057,02,ME,20220701181317,20220701173540,20220701180305,20220701181316,3
16,ME174081,03,ME,20220701181418,20220701181021,20220701181417,,2
17,ME174084,01,ME,20220701181317,20220701173010,20220701181316,,2
18,ME174111,01,ME,20220701181542,20220701162934,20220701165922,,2
19,ME174112,01,ME,20220701181226,20220701174910,20220701180952,20220701181225,3
20,ME174114,01,ME,20220701181252,20220701173540,20220701181011,20220701181251,3
21,ME174155,01,ME,20220701181441,20220701151741,20220701155803,20220701181440,3
22,ME178003,01,ME,20220701181511,20220701173301,20220701181445,,2
23,ME178003,02,ME,20220701181429,20220701174804,20220701181147,20220701181428,3
24,ME178007,01,ME,20220701181313,20220701172421,20220701180506,20220701181312,3
25,ME178010,02,ME,20220701181222,20220701180010,20220701181221,,2
26,ME178015,01,ME,20220701181309,20220701173240,20220701181308,,2
