,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000116,01,ME,20220701191304,20220701185927,20220701191250,,2
1,ME000207,01,ME,20220701191510,20220701182056,20220701184423,,2
2,ME000246,01,ME,20220701191609,20220701175246,20220701180626,20220701191552,3
3,ME000248,01,ME,20220701191521,20220701155416,20220701163049,20220701191516,3
4,ME000282,01,ME,20220701191548,20220701185846,20220701191544,,2
5,ME000291,01,ME,20220701191400,20220701183130,20220701190412,20220701191345,3
6,ME000308,01,ME,20220701191427,20220701142835,20220701145810,20220701191353,3
7,ME000387,01,ME,20220701191328,20220701183715,20220701185805,20220701191305,3
8,ME000424,01,ME,20220701191638,20220701183615,20220701191626,,2
9,ME174008,01,ME,20220701191645,20220701184129,20220701191644,,2
10,ME174016,01,ME,20220701191317,20220701162120,20220701170045,20220701191316,3
11,ME174033,01,ME,20220701191520,20220701183457,20220701191519,,2
12,ME174048,01,ME,20220701191346,20220701161635,20220701164052,20220701191345,3
13,ME174055,01,ME,20220701191509,20220701184317,20220701191508,,2
14,ME174095,01,ME,20220701191559,20220701175953,20220701183225,,3
15,ME174121,01,ME,20220701191644,20220701183557,20220701191643,,2
16,ME174129,01,ME,20220701191704,20220701160031,20220701164349,20220701191703,3
17,ME174130,01,ME,20220701191314,20220701165531,20220701171326,20220701191314,3
18,ME174137,01,ME,20220701191317,20220701183112,20220701191316,,2
19,ME174144,01,ME,20220701191345,20220701174148,20220701182318,,2
20,ME174158,01,ME,20220701191408,20220701182955,20220701191226,20220701191408,3
21,ME174161,01,ME,20220701191436,20220701164528,20220701171436,20220701191436,3
22,ME178004,01,ME,20220701191607,20220701185536,20220701191606,,2
23,ME178005,02,ME,20220701191608,20220701185126,20220701190858,20220701191607,3
24,ME178007,02,ME,20220701191526,20220701182519,20220701184520,20220701191525,3
25,ME178009,01,ME,20220701191335,20220701183424,20220701184738,20220701191334,3
26,ME178015,01,ME,20220701191436,20220701183520,20220701191448,,2
27,ME178018,01,ME,20220701191301,20220701182505,20220701191021,20220701191300,3
28,ME178022,02,ME,20220701191405,20220701173303,20220701180016,20220701191404,3
29,ME178029,02,ME,20220701191531,20220701183935,20220701191530,,2
30,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
31,ME178036,02,ME,20220701191653,20220701185058,20220701191653,,2
32,ME178049,01,ME,20220701191524,20220701181707,20220701184808,20220701191523,3
33,ME178057,01,ME,20220701191346,20220701183150,20220701191345,,2
34,ME178059,01,ME,20220701191426,20220701181827,20220701183023,20220701191426,3
35,ME178071,01,ME,20220701191630,20220701180958,20220701185018,20220701191629,3
36,ME178073,02,ME,20220701191507,20220701183528,20220701191505,,2
37,ME178097,01,ME,20220701191400,20220701185814,20220701191400,,2
38,ME178099,02,ME,20220701191425,20220701185048,20220701191424,,2
39,ME178135,01,ME,20220701191338,20220701183922,20220701191337,,2
40,ME178139,01,ME,20220701191528,20220701183324,20220701191114,20220701191527,3
41,ME178140,01,ME,20220701191442,20220701185556,20220701191441,,2
42,ME178142,01,ME,20800925144207,20210805151802,20210805152907,,5
43,ME178144,03,ME,20220701191518,20220701174922,20220701183347,20220701191517,3
44,ME178149,02,ME,20220701191338,20220701150117,20220701154420,20220701191337,3
45,ME181121,01,ME,20220701191629,20220701185737,20220701191628,,2
46,ME181435,01,ME,20220701191612,20220701175020,20220701182544,,2
47,ME181441,01,ME,20220701191635,20220701183538,20220701191603,,2
48,ME181519,01,ME,20220701191405,20220630165103,20220630171538,20220701191403,3
49,ME183055,01,ME,20220701191430,20220630200919,20220630203043,20220701191429,3
50,ME183057,01,ME,20220701191453,20220701162701,20220701165443,20220701191453,3
51,ME183058,01,ME,20220701191545,20220701184820,20220701191008,,2
52,ME183117,02,ME,20220701191410,20220629194555,20220629202609,20220701191409,3
53,ME183133,01,ME,20220701191658,20220701124327,20220701131323,20220701191656,3
54,ME183137,01,ME,20220701191451,20220628133332,20220628133802,20220701191450,3
55,ME183140,52,ME,20220701191410,20220701182924,20220701191450,,2
56,ME183141,01,ME,20220701191654,20220701191449,20220701191653,,2
57,ME183150,01,ME,20220701191415,20220701183109,20220701191415,,2
58,ME183153,01,ME,20220701191411,20220701115353,20220701122334,,3
59,ME183182,01,ME,20800927030732,20210826130041,20210826134352,,5
60,ME183187,02,ME,20800904145416,20210814161840,20210814164059,,5
61,ME183194,02,ME,20220701191306,20220701183832,20220701185900,,2
62,ME183195,01,ME,20220701191512,20220701183209,20220701191511,,2
63,ME183199,01,ME,20220701191321,20220701174622,20220701180317,,2
64,ME183210,02,ME,20220701191356,20220701183536,20220701190800,20220701191355,3
65,ME183211,52,ME,20220701191454,20220701180021,20220701183224,20220701191452,3
66,ME183218,52,ME,20220701191706,20220630120940,20220630125106,20220701191705,3
67,ME184041,01,ME,20220701191400,20220701183333,20220701185053,20220701191359,3
68,ME184050,01,ME,20220701191529,20220701182025,20220701190125,,2
69,ME184057,01,ME,20220701191532,20220701160716,20220701163601,,2
70,ME184085,01,ME,20220701191701,20220701185212,20220701191626,,2
71,ME184118,01,ME,20220701191402,20220630195235,20220630203400,20220701191401,3
72,ME184142,01,ME,20220701191428,20220701151827,20220701155722,,2
73,ME187008,01,ME,20220701191629,20220701183604,20220701191627,,2
74,ME188008,01,ME,20220701191649,20220701184207,20220701191647,,2
75,ME18A129,01,ME,20220701191501,20220701185535,20220701191459,,2
76,ME18A139,01,ME,20220701191329,20220701175433,20220701180249,20220701191328,3
77,ME18A154,01,ME,20220701191541,20220701185434,20220701191540,,2
78,ME18A167,01,ME,20220701191337,20220701174701,20220701181810,20220701191337,3
79,ME18A168,01,ME,20220701191606,20220701130754,20220701131919,,2
80,ME18A224,11,ME,20220701191437,20220701184939,20220701191413,20220701191437,3
81,ME18A229,12,ME,20220701191536,20220630193251,20220630201541,20220701191536,3
82,ME18A250,12,ME,20220701191628,20220701110953,20220701115534,20220701191628,3
83,ME18A296,11,ME,20220701191637,20220701183334,20220701191635,,2
84,ME18A304,11,ME,20220701191311,20220701184028,20220701191309,,2
85,ME18A511,01,ME,20220701191614,20220701184908,20220701191613,,2
86,ME18B118,01,ME,20220701191559,20220701162716,20220701165546,20220701191557,3
87,ME18B123,01,ME,20220701191430,20220701183428,20220701190438,,2
