,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000063,01,ME,20220701184139,20220701181640,20220701184125,,2
1,ME000159,01,ME,20220701184106,20220701182608,20220701182619,,2
2,ME000207,01,ME,20220701184437,20220701182056,20220701184423,,2
3,ME000279,01,ME,20220701184158,20220701182241,20220701184149,,2
4,ME000284,01,ME,20220701184442,20220701180426,20220701184432,,2
5,ME000360,01,ME,20220701184501,20220701181652,20220701184056,,2
6,ME000367,01,ME,20220701184233,20220701153422,20220701155633,20220701184217,3
7,ME174008,01,ME,20220701184130,20220701013649,20220701020645,20220701184129,3
8,ME174013,01,ME,20220701184417,20220701152027,20220701160143,20220701184416,3
9,ME174049,01,ME,20220701184227,20220701180859,20220701184227,,2
10,ME174055,01,ME,20220701184318,20220701174331,20220701182650,,3
11,ME174067,01,ME,20220701184305,20220701181649,20220701184304,,2
12,ME174079,01,ME,20220701184133,20220701145059,20220701152629,,2
13,ME174110,01,ME,20220701184103,20220701132309,20220701140120,20220701184103,3
14,ME174127,01,ME,20220701184101,20220701121951,20220701122442,20220701184101,3
15,ME178003,01,ME,20220701184247,20220701181626,20220701183842,20220701184246,3
16,ME178005,02,ME,20220701184127,20220701182431,20220701184126,,2
17,ME178011,03,ME,20220701184313,20220701182642,20220701184312,,2
18,ME178017,01,ME,20220701184149,20220701181524,20220701184118,,2
19,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
20,ME178038,02,ME,20220701184346,20220701172114,20220701175339,20220701184345,3
21,ME178040,01,ME,20220701184139,20220701181122,20220701183803,20220701184137,3
22,ME178046,01,ME,20220701184421,20220701174045,20220701175854,,3
23,ME178047,01,ME,20220701184121,20220701180521,20220701184055,,2
24,ME178084,01,ME,20220701184233,20220701170457,20220701171922,,3
25,ME178097,02,ME,20220701184122,20220701142444,20220701150521,20220701184121,3
26,ME178102,01,ME,20220701184228,20220701182904,20220701184157,,2
